Date : 2023-06-13 02:00:42
Directory : c:\Users\Reil\Documents\GitHub\CoralTravel\backend
Total : 87 files,  -4197 codes, 0 comments, -275 blanks, all -4472 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\comfort\mini-club.svg                    | XML        |         -1 |          0 |          0 |         -1 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\comfort\pool.svg                         | XML        |        -19 |         -1 |          0 |        -20 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\comfort\pool_88580.svg                   | XML        |         -1 |          0 |          0 |         -1 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\comfort\wi-fi.svg                        | XML        |         -1 |          0 |          0 |         -1 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\footer\ok.svg                            | XML        |         -1 |          0 |          0 |         -1 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\footer\viber.svg                         | XML        |         -1 |          0 |          0 |         -1 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\footer\vk.svg                            | XML        |       -153 |          0 |         -2 |       -155 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\footer\whatsapp.svg                      | XML        |        -48 |         -1 |         -1 |        -50 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\headphones.svg                           | XML        |         -1 |          0 |          0 |         -1 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\appComponents\action.vue             | vue        |        -16 |          0 |         -4 |        -20 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\appComponents\contacts.vue           | vue        |        -16 |          0 |         -4 |        -20 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\appComponents\main.vue               | vue        |       -129 |         -1 |         -9 |       -139 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\appComponents\tour.css               | CSS        |         -8 |          0 |         -1 |         -9 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\appComponents\tour.vue               | vue        |        -42 |          0 |         -8 |        -50 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\cardAdmin\cardAdmin.css              | CSS        |        -16 |          0 |          0 |        -16 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\cardAdmin\cardAdmin.vue              | vue        |        -68 |          0 |        -11 |        -79 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\errToats.vue                         | vue        |        -27 |          0 |         -8 |        -35 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\footer\footer.css                    | CSS        |        -39 |          0 |          0 |        -39 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\footer\footerComponent.vue           | vue        |        -27 |          0 |         -5 |        -32 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\login\login.css                      | CSS        |         -3 |          0 |          0 |         -3 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\login\login.vue                      | vue        |        -59 |          0 |        -10 |        -69 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\popular-tour\popular-tour.vue        | vue        |        -17 |          0 |         -3 |        -20 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\privacy-policy\privacyPolicy.css     | CSS        |         -4 |          0 |          0 |         -4 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\privacy-policy\privacyPolicy.vue     | vue        |       -497 |          0 |         -7 |       -504 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\register\register.css                | CSS        |        -39 |          0 |         -1 |        -40 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\register\register.vue                | vue        |       -115 |          0 |        -15 |       -130 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\reset-password\reset-password.vue    | vue        |        -80 |          0 |         -6 |        -86 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\toats.vue                            | vue        |        -28 |          0 |         -8 |        -36 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\toure-card\toure-card.css            | CSS        |        -21 |          0 |          0 |        -21 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\toure-card\toure-card.vue            | vue        |        -66 |          0 |        -11 |        -77 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\user-agreement\userAgreement.css     | CSS        |         -4 |          0 |          0 |         -4 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\user-agreement\userAgreement.vue     | vue        |       -121 |          0 |         -4 |       -125 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\cookie\cookieRW.ts                              | TypeScript |        -40 |          0 |         -1 |        -41 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\coral-api\apilib.ts                             | TypeScript |        -75 |         -2 |        -10 |        -87 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\main.css                                        | CSS        |       -121 |         -1 |         -9 |       -131 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\main.ts                                         | TypeScript |         -4 |          0 |         -1 |         -5 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\account\account.css                        | CSS        |        -73 |          0 |        -10 |        -83 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\account\account.ts                         | TypeScript |         -4 |          0 |         -1 |         -5 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\account\account.vue                        | vue        |       -132 |          0 |        -23 |       -155 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\addTour\addTour.ts                         | TypeScript |         -4 |          0 |         -1 |         -5 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\addTour\addToure.css                       | CSS        |       -212 |          0 |         -5 |       -217 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\addTour\addToure.vue                       | vue        |       -392 |          0 |        -32 |       -424 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\adminPanel\adminPanel.css                  | CSS        |       -105 |          0 |          0 |       -105 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\adminPanel\adminPanel.ts                   | TypeScript |         -4 |          0 |         -1 |         -5 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\adminPanel\adminPanel.vue                  | vue        |        -83 |          0 |         -6 |        -89 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\editToure\editToure.css                    | CSS        |       -212 |          0 |         -5 |       -217 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\editToure\editToure.ts                     | TypeScript |         -5 |          0 |         -1 |         -6 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\editToure\editToure.vue                    | vue        |       -443 |          0 |        -41 |       -484 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\editUser\editUser.css                      | CSS        |        -78 |          0 |        -11 |        -89 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\editUser\editUser.ts                       | TypeScript |         -5 |          0 |         -1 |         -6 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\editUser\editUser.vue                      | vue        |       -107 |          0 |        -13 |       -120 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\fullInfoToure\fullInfoToure.css            | CSS        |        -91 |          0 |         -6 |        -97 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\fullInfoToure\fullInfoToure.ts             | TypeScript |         -4 |          0 |         -1 |         -5 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\fullInfoToure\fullInfoToure.vue            | vue        |       -205 |          0 |        -16 |       -221 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\loginPanel\loginPanel.css                  | CSS        |        -33 |          0 |          0 |        -33 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\loginPanel\loginPanel.ts                   | TypeScript |         -4 |          0 |         -1 |         -5 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\loginPanel\loginPanel.vue                  | vue        |        -38 |          0 |         -6 |        -44 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\shims-vue.d.ts                                  | TypeScript |         -5 |         -1 |         -1 |         -7 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\userdata.ts                                     | TypeScript |        -20 |          0 |         -3 |        -23 |
| Total                                                                                          |            |     -4,197 |          0 |       -275 |     -4,472 |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
